Date,NIFTY_BANK,NIFTY_AUTO,NIFTY_FMCG,NIFTY_IT,NIFTY_PHARMA,NIFTY_OIL_GAS,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_COMMODITIES,NIFTY_CONSUMERABLES,NIFTY_FINANCIAL_SERVICES_EXBANK,NIFTY_FINANCIAL_SERVICES25_50,NIFTY_ENERGY
28-Jan-22,-0.0460%,-0.2554%,-0.5376%,-2.5272%,-0.8399%,-0.8399%,-0.8399%,-0.8399%,0.0951%,-0.8399%,-0.8399%,-0.8399%,-0.1597%
27-Jan-22,2.7238%,2.5983%,0.0708%,-4.0225%,-1.1730%,-1.1730%,-1.1730%,-1.1730%,0.2530%,-1.1730%,-1.1730%,-1.1730%,0.5365%
25-Jan-22,0.3513%,-0.3385%,-1.1820%,-3.8813%,-1.1530%,-1.1530%,-1.1530%,-1.1530%,-2.6863%,-1.1530%,-1.1530%,-1.1530%,-1.3734%
24-Jan-22,-2.4448%,-2.8594%,-2.0590%,-5.2858%,-3.5104%,-3.5104%,-3.5104%,-3.5104%,-5.8924%,-3.5104%,-3.5104%,-3.5104%,-3.4589%
21-Jan-22,-1.2430%,-1.0349%,-0.7973%,-3.4036%,-3.3199%,-3.3199%,-3.3199%,-3.3199%,-1.9203%,-3.3199%,-3.3199%,-3.3199%,-0.9503%
20-Jan-22,-0.9496%,-0.1342%,-2.2402%,-3.8992%,-1.8038%,-1.8038%,-1.8038%,-1.8038%,0.1803%,-1.8038%,-1.8038%,-1.8038%,0.8514%
19-Jan-22,-0.4595%,-1.7108%,-2.3783%,-4.0858%,-1.3137%,-1.3137%,-1.3137%,-1.3137%,-1.8975%,-1.3137%,-1.3137%,-1.3137%,0.4327%
18-Jan-22,-0.4190%,-0.3819%,-0.8342%,-1.9298%,-1.9460%,-1.9460%,-1.9460%,-1.9460%,-0.7483%,-1.9460%,-1.9460%,-1.9460%,0.7468%
17-Jan-22,-0.6641%,1.6421%,-0.2589%,0.5101%,-1.3612%,-1.3612%,-1.3612%,-1.3612%,1.3561%,-1.3612%,-1.3612%,-1.3612%,1.4570%
14-Jan-22,-0.9308%,-0.0245%,-0.4679%,0.5720%,0.9342%,0.9342%,0.9342%,0.9342%,1.4424%,0.9342%,0.9342%,0.9342%,1.4157%
